title,body,created_at,updated_at,closed_at,state,labels,number,url,milestone,locked,assignee,assignees,commit_shas,contrib_complexity
Fix failing serialisation tests,"After fixing some tests in #2408 so that they now fail instead of skip, it seems that some tests fail in serialising JSON. These need to be fixed before #2408 can be merged.",2021-04-12 11:25:45+00:00,2021-04-13 11:05:06+00:00,2021-04-13 11:05:06+00:00,closed,[],2409,https://github.com/gchq/Gaffer/issues/2409,,False,,[],[],
gh-2364 Fixed typos from assumeTrue to assertTrue,Resolves #2364 ,2021-04-09 14:56:57+00:00,2021-04-13 16:29:38+00:00,2021-04-13 16:29:34+00:00,closed,[],2408,https://github.com/gchq/Gaffer/pull/2408,,False,,[],[],
Renamed CreateSplitPointsIT to Test,This is to allow us to automate the accumulo integration tests. As things stand the CreateSplitPointsIT doesn't use the store.class in the storeProperties which becomes problematic when running in docker on K8s (connections fail when setting up a MiniAccumuloStore). Therefore I've renamed it to CreateSplitPointsTest so that it's run in the test phase rather than the integration test one.,2021-03-02 12:49:05+00:00,2021-03-31 10:56:13+00:00,2021-03-31 10:56:13+00:00,closed,[],2405,https://github.com/gchq/Gaffer/pull/2405,"Milestone(title=""v1.16.0"", number=108)",False,,[],[],
Gh 2375 proxy store should ignore unsupported operations,,2021-02-04 13:11:50+00:00,2021-02-17 15:01:44+00:00,2021-02-17 15:01:44+00:00,closed,[],2401,https://github.com/gchq/Gaffer/pull/2401,,False,,[],[],
gh-2397 Updated timeout to ten minutes,,2021-02-02 14:52:35+00:00,2021-03-31 12:36:47+00:00,2021-03-31 12:36:15+00:00,closed,[],2398,https://github.com/gchq/Gaffer/pull/2398,"Milestone(title=""v1.16.0"", number=108)",False,,[],[],
Remote staging failing consistently,Gaffer is failing to complete the staging requirements usually by less than a minute. To fix this update the timeout in the plugin,2021-02-02 14:52:01+00:00,2021-03-31 12:37:59+00:00,2021-03-31 12:37:39+00:00,closed,"[Label(name=""automation"")]",2397,https://github.com/gchq/Gaffer/issues/2397,"Milestone(title=""v1.16.0"", number=108)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",[],
Gh 2201 upgrade accumulo version to 2.x.x,,2021-01-28 18:26:11+00:00,2021-01-28 22:22:38+00:00,2021-01-28 22:22:38+00:00,closed,[],2396,https://github.com/gchq/Gaffer/pull/2396,,False,,[],[],
Investigate federated store bug,,2021-01-28 14:46:35+00:00,2021-01-28 15:45:34+00:00,2021-01-28 15:45:34+00:00,closed,[],2394,https://github.com/gchq/Gaffer/pull/2394,,False,,[],[],
gh-2008 bugfix,"

# Related Issue

- Resolve #2008",2021-01-28 13:02:21+00:00,2021-01-28 15:45:52+00:00,2021-01-28 15:45:51+00:00,closed,[],2393,https://github.com/gchq/Gaffer/pull/2393,,False,,[],[],
gh-2391 Add classifier,Fixes #2391 #2388 #2390 #2389 #2387 #2386,2021-01-28 12:42:30+00:00,2021-01-28 17:36:03+00:00,2021-01-28 17:36:03+00:00,closed,[],2392,https://github.com/gchq/Gaffer/pull/2392,,False,,[],[],
Classifier should be added to spring-rest api,"To release the original jar as well as the executable one, a classifier should be added to the spring boot plugin when generating the executable jar.",2021-01-28 12:39:52+00:00,2021-01-28 17:36:02+00:00,2021-01-28 17:36:02+00:00,closed,"[Label(name=""enhancement""), Label(name=""rest-api"")]",2391,https://github.com/gchq/Gaffer/issues/2391,"Milestone(title=""v1.15.0"", number=107)",False,"NamedUser(login=""d47853"")","[NamedUser(login=""d47853"")]",['cb6e9c704e5e26f41afb00a4c15d053444d02cac'],2.0
